STATION,STATION_NAME,DATE,PRCP,TMAX,TMIN
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930311,0,28,-39
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930312,-9999,17,-50
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930313,-9999,-11,-128
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930314,0,-128,-211
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930315,0,-94,-283
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930316,-9999,-33,-178
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930317,0,-56,-206
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930318,0,-50,-217
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930319,-9999,-6,-272
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930320,0,0,-39
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930321,0,-22,-167
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930322,-9999,-39,-94
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930323,-9999,-44,-78
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930324,-9999,-56,-89
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930325,0,-6,-222
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930326,0,44,-111
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930327,0,28,-39
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930328,0,28,-6
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930329,0,106,0
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930330,0,89,-11
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930331,0,67,17
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930401,0,72,6
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930402,0,222,-39
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930403,0,222,33
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930404,0,178,-11
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930405,0,150,11
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930406,102,28,-22
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930407,0,161,-11
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930408,0,94,-56
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930409,0,172,-56
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930410,0,167,-22
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930411,76,144,44
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930412,-9999,83,-56
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930413,0,-28,-111
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930414,0,72,-111
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930415,0,133,-44
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930416,0,106,-11
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930417,0,206,-11
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930418,0,189,-6
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930419,5,50,0
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930420,13,11,-72
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930421,-9999,11,-67
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930422,0,72,-50
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930423,0,128,-50
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930424,51,128,33
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930425,0,44,6
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930426,102,22,-17
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930427,0,78,-11
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930428,0,72,-22
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930429,0,72,-39
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930430,-9999,94,-6
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930501,0,111,-17
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930502,0,106,0
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930503,0,167,-22
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930504,147,161,6
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930505,0,161,22
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930506,0,183,-22
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930507,0,178,11
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930508,0,189,17
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930509,193,178,44
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930510,38,283,100
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930511,0,283,106
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930512,0,217,72
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930513,0,244,22
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930514,0,211,50
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930515,0,172,6
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930516,0,256,33
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930517,0,283,167
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930518,0,283,106
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930519,0,239,122
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930520,0,217,72
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930521,46,228,72
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930522,157,133,44
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930523,0,-9999,0
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930524,13,200,-9999
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930525,30,167,0
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930526,3,161,61
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930527,0,200,17
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930528,0,239,44
GHCND:USW00014946,WATERTOWN REGIONAL AIRPORT SD US,18930529,0,261,89
