"STATION","STATION_NAME","DATE","PRCP","TMAX","TMIN"
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-03-05,25,-106,-144
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-03-06,0,-117,-156
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-03-07,0,67,-200
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-03-08,0,161,-11
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-03-09,0,106,-122
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-03-10,0,161,-50
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-03-11,0,172,6
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-03-12,0,161,0
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-03-13,0,156,-56
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-03-14,0,-44,-150
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-03-15,0,-122,-172
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-03-16,0,-133,-256
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-03-17,13,-28,-156
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-03-18,0,33,-106
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-03-19,0,44,-117
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-03-20,0,-61,-183
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-03-21,0,122,-117
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-03-22,0,89,-61
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-03-23,0,50,-94
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-03-24,0,122,-50
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-03-25,25,56,-6
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-03-26,0,22,-78
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-03-27,25,6,-33
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-03-28,203,0,-44
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-03-29,0,22,-50
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-03-30,0,28,-111
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-03-31,0,56,-117
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-04-01,0,72,-22
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-04-02,0,122,-44
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-04-03,0,89,-17
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-04-04,0,128,-44
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-04-05,0,200,-39
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-04-06,0,233,50
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-04-07,0,233,28
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-04-08,0,183,83
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-04-09,0,128,22
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-04-10,0,78,-39
"GHCND:USW00014946","WATERTOWN REGIONAL AIRPORT SD US",1900-04-11,0,50,-33
